Player,Position,Height,All Star Year,ppg,apg,bpg,spg,to,fg,3fg,ft,reb
"Bam Adebayo", "Center", "6'10", "2020", 15.9, 5.1, 1.3, 0.8, 3.1, 55.7, 14.3, 69.1, 10.2
"Chris Bosh", "Power Forward", "6'11", "2011", 18.7, 1.9, 0.6, 0.8, 1.8, 46.9, 24.0, 81.5, 8.3
"Chris Bosh", "Power Forward", "6'11", "2012", 18.0, 1.8, 0.8, 0.9, 2.1, 48.7, 28.6, 82.1, 7.9
"Chris Bosh", "Power Forward", "6'11", "2013", 16.6, 1.7, 1.4, 0.9, 1.7, 53.5, 28.4, 79.8, 6.8
"Chris Bosh", "Power Forward", "6'11", "2014", 16.2, 1.1, 1.0, 1.0, 1.6, 51.6, 33.9, 82.0, 6.6
"Chris Bosh", "Power Forward", "6'11", "2015", 21.1, 2.2, 0.6, 0.9, 2.2, 46.0, 37.5, 77.2, 7.0
"Chris Bosh", "Power Forward", "6'11", "2016", 19.1, 2.4, 0.6, 0.7, 1.5, 46.7, 36.5,79.5, 7.4
"Jimmy Butler", "Small Forward", "6'8", "2020", 19.9, 6.0, 0.6, 1.8, 1.4, 45.5, 24.4, 83.4, 6.7
"Goran Dragic", "Point Guard", "6'3", "2018", 17.3, 4.8, 0.2, 0.8, 2.2, 45.0, 37.0, 80.1, 4.1
"Tim Hardaway", "Point Guard", "6'0", "1997", 20.3, 8.6, 0.1, 1.9, 2.8, 41.5, 34.4, 79.9, 3.4
"Tim Hardaway", "Point Guard", "6'0", "1998", 18.9, 8.3, 0.2, 1.7, 2.8, 43.1, 35.1, 78.1, 3.7
"LeBron James", "Small Forward", "6'8", "2011", 26.7, 7.0, 0.6, 1.6, 3.6, 51.0, 33.0, 75.9, 7.5
"LeBron James", "Small Forward", "6'8", "2012", 27.1, 6.2, 0.8, 1.9, 3.4, 53.1, 36.2, 77.1, 7.9
"LeBron James", "Small Forward", "6'8", "2013", 26.8, 7.3, 0.9, 1.7, 3.0, 56.5, 40.6, 75.3, 8.0
"LeBron James", "Small Forward", "6'8", "2014", 27.1, 6.3, 0.3, 1.6, 3.5, 56.7, 37.9, 75.0, 6.9
"Anthony Mason", "Power Forward", "6'7", "2001", 16.1, 3.1, 0.3, 1.0, 2.2, 48.2, 0.0, 78.1, 9.6
"Alonzo Mourning", "Center", "6'10", "1996", 23.2, 2.3, 2.7, 1.0, 3.7, 52.3, 30.0, 68.5, 10.4
"Alonzo Mourning", "Center", "6'10", "1997", 19.8, 1.6, 2.9, 0.8, 3.4, 53.4, 11.1, 64.2, 9.9
"Alonzo Mourning", "Center", "6'10", "2000", 21.7, 1.6, 3.7, 0.5, 2.7, 55.1, 0.0, 71.1, 9.5
"Alonzo Mourning", "Center", "6'10", "2001", 13.6, 0.9, 2.4, 0.3, 2.2, 51.8, 0.0, 56.4, 7.8
"Alonzo Mourning", "Center", "6'10", "2002", 15.7, 1.2, 2.5, 0.4, 2.4, 51.6, 33.3, 65.7, 8.4
"Shaquille O'Neal", "Center", "7'1", "2005", 22.9, 2.7, 2.3, 0.5, 2.8, 60.1, 0.0, 46.1, 10.4
"Shaquille O'Neal", "Center", "7'1", "2006", 20.0, 1.9, 1.8, 0.4, 2.8, 60.0, 0.0, 46.9, 9.2
"Shaquille O'Neal", "Center", "7'1", "2007", 17.3, 2.0, 1.4, 0.2, 2.4, 59.1, 0.0, 42.2, 7.4
"Dwyane Wade", "Shooting Guard", "6'4", "2005", 24.1, 6.8, 1.1, 1.6, 4.2, 47.8, 28.9, 76.2, 5.2
"Dwyane Wade", "Shooting Guard", "6'4", "2006", 27.2, 6.7, 0.8, 1.9, 3.6, 49.5, 17.1, 78.3, 5.7
"Dwyane Wade", "Shooting Guard", "6'4", "2007", 27.4, 7.5, 1.2, 2.1, 4.2, 49.1, 26.6, 80.7, 4.7
"Dwyane Wade", "Shooting Guard", "6'4", "2008", 24.6, 6.9, 0.7, 1.7, 4.4, 46.9, 28.6, 75.8, 4.2
"Dwyane Wade", "Shooting Guard", "6'4", "2009", 30.2, 7.5, 1.3, 2.2, 1.3, 49.1, 31.7, 76.5, 5.0
"Dwyane Wade", "Shooting Guard", "6'4", "2010", 26.6, 6.5, 1.1, 1.8, 3.3, 46.7, 30.0, 76.1, 4.8
"Dwyane Wade", "Shooting Guard", "6'4", "2011", 25.5, 4.6, 1.1, 1.5, 3.1, 50.0, 30.6, 75.8, 6.4
"Dwyane Wade", "Shooting Guard", "6'4", "2012", 22.1, 4.6, 1.3, 1.7, 2.6, 49.7, 26.8, 79.1, 4.8
"Dwyane Wade", "Shooting Guard", "6'4", "2013", 21.2, 5.1, 0.8, 1.9, 2.8, 52.1, 25.8, 72.5, 5.0
"Dwyane Wade", "Shooting Guard", "6'4", "2014", 19.0, 4.5, 0.5, 1.5, 3.0, 54.5, 28.1, 73.3, 4.5
"Dwyane Wade", "Shooting Guard", "6'4", "2015", 21.5, 4.8, 0.3, 1.2, 3.4, 47.0, 28.4, 76.8, 3.5
"Dwyane Wade", "Shooting Guard", "6'4", "2016", 19.0, 4.6, 0.6, 1.1, 2.7, 45.6, 15.9, 79.3, 4.1
"Dwyane Wade", "Shooting Guard", "6'4", "2019", 15.0, 4.2, 0.5, 0.8, 2.3, 43.3, 33.0, 70.8, 4.0
